city,lat,lng
Teresa,14.5586,121.2083
Tuao,17.735,121.4553
Santa Cruz,15.77,119.92
Songkhla,7.2061,100.5967
Sibalom,10.7883,122.0175
Jose Pañganiban,14.2922,122.6928
Ban Lam Sam Kaeo,13.9728,100.6511
San Fernando,7.9178,125.3286
Calinog,11.13,122.5
Moncada,15.7331,120.5725
Tân Phước Khánh,11.0,106.7167
Bansalan,6.78,125.22
Champasak,14.8569,105.7533
Tandag,9.0789,126.1986
Kapatagan,7.9,123.77
Aurora,13.35,122.52
Rayong,12.6742,101.2789
Cambanugoy,7.5386,125.7508
Saraburi,14.5286,100.9114
Santa Ana,15.0939,120.7681
Itogon,16.37,120.67
Baao,13.4535,123.3654
Taal,13.88,120.93
Candon,17.1958,120.4489
Sawahlunto,-0.6667,100.7833
Gia Nghĩa,11.9833,107.7
Tunasan,14.3725,121.0364
Yala,6.5425,101.2831
Abuyog,10.7458,125.0122
Cabatuan,10.88,122.48
Santo Domingo,15.59,120.8786
Tulunan,6.83,124.88
Jinoba-an,9.6018,122.4668
Orion,14.6206,120.5817
Kresek,-6.1314,106.38
Castilla,12.9553,123.8764
Laoang,12.57,125.02
Trang,7.5575,99.6103
Tigaon,13.6319,123.4975
Matanao,6.75,125.23
Gubat,12.9189,124.1231
Rosario,16.23,120.48
Paracale,14.2797,122.7869
San Mariano,16.98,122.02
Samut Sakhon,13.5486,100.2775
Malay,11.8997,121.9094
Kratie,12.48,106.03
Obando,14.7083,120.9375
Sigaboy,6.6536,126.0717
Ilog,10.03,122.77
Ragay,13.8217,122.7897
Kananya,11.1856,124.5597
Medellin,11.1286,123.9622
Maimbung,5.93,121.03
Hua Hin,12.5686,99.9578
Esperanza,8.68,125.65
Alfonso,14.1379,120.8552
Irosin,12.705,124.0319
San Francisco,10.65,124.35
San Simon,14.998,120.78
